Title,Year,Alternative_Titles,Director,Lead_Actor,Co_Stars,Music,Synopsis_and_Notes
"And They Smelled the Strange, Exciting, Dangerous Scent of Dollars",1973,Sentivano... Uno Strano Eccitante Pericoloso Puzzo di Dollari,Piero Regnoli (as Italo Alfaro),Robert Malcolm,"Piero Vida, Rosalba Neri, Luigi Meccia, Salvatore Puntillo, Peter Landers, Spartaco Conversi",Bruno Zambrini / Gianni Meccia,"Boasting one of the most surreal and elaborate titles in Eurowestern history, this offbeat film follows charming outlaw Bronco Kid (Robert Malcolm) as he joins forces with eccentric bounty hunter Charity Jenkins. Together, they attempt to intercept and hijack a million-dollar payroll shipment orchestrated by a corrupt frontier financier. Features a brief appearance by fan-favorite genre queen Rosalba Neri."
Animal Called Man,1973,Animale Chiamato Uomo,Roberto Mauri,Vassili Karis,"Lillian Bray, Craig Hill, Gilberto Galimbi, Amero Capanna, Carla Mancini, Paolo Magalotti",Carlo Savina,"A tongue-in-cheek comedy clearly riding the coattails of the smash-hit Trinity films. Charming rogue Bill Masson (Vassili Karis) wins a local sharpshooting derby, earning five hundred dollars and a night with the saloon songstress (Lillian Bray), only to discover she is actually an undercover physician from Paris. When the disgruntled local boss attempts to assassinate him, full-scale comic warfare breaks out."
"Another Man, Another Woman",1977,"Another Man, Another Chance; Un Autre Homme, une Autre Chance",Claude Lelouch,James Caan,"Geneviève Bujold, Francis Huster, Jennifer Warren, Susan Tyrrell, Walter Barnes",Francis Lai,"Acclaimed French director Claude Lelouch crafts an arthouse Western romance starring James Caan as a widowed frontier veterinarian and Geneviève Bujold as an immigrant French widow trying to run a photography studio in New Mexico. Rather than focusing purely on gunfights, the film emphasizes breathtaking visual panoramas, delicate emotional storytelling, and the sheer harshness of frontier survival."
Anything for a Friend,1973,"Amico Mio, Frega Tu... Che Frego Io!",Demofilo Fidani (as Miles Deem),Gordon Mitchell,"Red Carter (Lionel Stander), Simone Blondell, Dennys Colt, Bud Randall, Carla Mancini, Sleepy Warren",Lallo Gori,"A wonderfully outrageous slapstick effort from cult hack director Demofilo Fidani. Two small-time hustlers discover a rich gold seam in Dead Man's Gulch outside Denver, only to run afoul of the self-appointed town mayor and crooked saloon owner (Gordon Mitchell). Packed with Fidani's signature oddball humor, sight gags, and eccentric frontier characters."
Apache Woman,1976,Una Donna Chiamata Apache,Giorgio Mariuzzo (as George McRoots),Al Cliver,"Yara Kewa, Corrado Olmi, Fran Marie Boyer, Rick Boyd, Roque Oppedisano",Budy-Maglione,"A gritty, late-cycle Eurowestern mixing severe exploitation violence with 1970s softcore sensuality. A naive cavalry soldier named Tommy rescues a young Apache woman from an abusive gun-trafficker named Honest Jeremy. As the couple attempts to live in peace, the vindictive trader and his sadistic partners relentlessly stalk them through the wilderness, culminating in a brutal, uncompromising climax."
Apache's Last Battle,1964,Old Shatterhand; Battaglia di Fort Apache,Hugo Fregonese,Lex Barker,"Guy Madison, Pierre Brice, Daliah Lavi, Rick Battaglia, Ralf Wolter, Kitty Mattern, Bill Ramsey",Martin Böttcher,"Filmed in 70mm Superpanorama across the majestic Yugoslavian mountain ranges, this lavish European production stars Lex Barker as Old Shatterhand and Pierre Brice as Winnetou. The blood brothers strive to broker peace on the frontier while a renegade, glory-seeking cavalry officer (Guy Madison) schemes to trigger a total Indian war to seize sacred tribal lands."
Apocalypse Joe,1970,Man Called Apocalypse Joe; L'Uomo Chiamato Apocalisse Joe,Leopoldo Savona,Anthony Steffen,"Eduardo Fajardo, Mary Paz Pondal, Stelio Candelli, Fernando Cerulli, Fernando Bilbao",Bruno Nicolai,"Anthony Steffen stars as Joe Clifford, a wandering, Shakespeare-quoting actor who is secretly one of the deadliest vigilantes in the territory. Upon arriving in the town of Landberry to claim a gold mine left to him by his late uncle, he discovers that a corrupt syndicate led by town boss Berg (Eduardo Fajardo) has seized the operation and terrorized the citizens. Joe straps on his guns to reclaim his inheritance."
Arizona,1970,Arizona Colt Returns; If You Gotta Shoot Someone... Bang! Bang!,Sergio Martino,Anthony Steffen,"Rosalba Neri, Aldo Sambrell, Roberto Camardiel, José Manuel Martin, Raf Baldassare, Luis Barboo",Bruno Nicolai,"A dark and stylish revenge Western directed by Italian thriller maestro Sergio Martino. Retired bounty hunter Arizona Colt is framed for horse thievery by his old nemesis Keene (Aldo Sambrell). After faking his execution to live quietly, Keene raids his ranch, murdering Arizona's companions. Enraged, Arizona sets out on a merciless hunt, wiping out the entire outlaw outfit."
Arizona Colt,1965,Man from Nowhere; Il Pistolero di Arizona,Michele Lupo,Giuliano Gemma,"Fernando Sancho, Corinne Marchand, Nello Pazzafini, Andrea Bosić, Roberto Camardiel, Mirko Ellis, Rosalba Neri",Francesco De Masi,"Giuliano Gemma portrays legendary drifter Arizona Colt, who is forcibly freed from prison by Mexican bandit Gordon Watch (Fernando Sancho) to recruit him into his gang. Refusing to become an outlaw, Colt travels to Blackstone City to protect the settlement from the gang's impending raid. Filled with high-flying stunts, quick-draw action, and memorable performances by Sancho and Rosalba Neri."
Arizona Kid,1974,I Fratelli di Arizona,Luciano B. Carlos,Mamie Van Doren,"Gordon Mitchell, Chaquito, Mariela Branger, Bernard Bonnin, Pilar Velazquez",Restie Umali,A singular historical oddity as the only Italian-Filipino co-produced Western ever made. Philippine comedy icon Chaquito stars as a bumbling wanderer who is mistaken for a mythical gunfighter named the Arizona Kid and hired to defend the village of Sierra Vista from a brutal gang led by Gordon Mitchell. 1950s Hollywood bombshell Mamie Van Doren co-stars.
Armed and Dangerous: Time and Heroes of Bret Harte,1977,Wooruzhyon i Ochen Opasen,Vladimir Vainstok,Donatas Banionis,"Ludmilla Senchina, Leonid Bronevoy, Vsevolod Abdulov, Sergei Martinson",Lev Durov,"An ambitious Soviet-produced Western based loosely on the classic frontier tales of American writer Bret Harte. The narrative follows a gold prospector, a spirited dancehall singer, and the fictionalized author himself as they join forces to protect struggling homesteaders from a tyrannical oil tycoon seeking to monopolize the valley's mineral rights."
Awkward Hands,1968,When Satan Grips the Colt; Clumsy Hands; Manos Torpes,Rafael Romero Marchent,Peter Lee Lawrence,"Alberto de Mendoza, Pilar Velazquez, Aldo Sambrell, Vidal Molina, Luis Induñi, Frank Braña, Antonio Casas",Anton Garcia Abril,"Peter Lee Lawrence plays Kitt, a peace-loving ranch hand beaten and left to die in the arid plains for daring to love the daughter of a wealthy cattle baron. Nursed back to health and schooled in the fatal art of gunfighting by a mysterious Chinese mentor, Kitt transforms into an ice-cold avenger, culminating in a savage confrontation with a lethal whip-wielding bounty hunter."
Man Called Noon,1974,Lo Chiamavano Mezzogiorno,Peter Collinson,Richard Crenna,"Rosanna Schiaffino, Stephen Boyd, Farley Granger, Patty Shepard, Aldo Sambrell, Charlie Bravo",Luis Enrique Bacalov,"Based on a Louis L'Amour novel. Richard Crenna stars as Noon, an amnesiac gunslinger recovering from a gunshot wound to the head. Aided by an outlaw companion (Stephen Boyd) and a fiery senorita (Rosanna Schiaffino), Noon pieces together his forgotten past and tracks down the murderous gang responsible for the deaths of his wife and child."
Man Called Sledge,1970,Sledge,Vic Morrow / Giorgio Gentili,James Garner,"Laura Antonelli, Dennis Weaver, Claude Akins, John Marley, Wayde Preston, Ken Clark",Gianni Ferrio,"James Garner delivers a gritty, atypical performance as Luther Sledge, an outlaw who infiltrates an impenetrable territorial prison to steal a $300,000 gold cache. After the daring robbery succeeds, mutual greed and paranoia cause the gang members to violently turn against each other until almost none survive."
Man from Canyon City,1965,Viva Carrancha!; L'Uomo Che Viene da Canyon City,Alfonso Balcazar,Robert Woods,"Fernando Sancho, Luis Dávila, Renato Baldini, Loredana Nusciak, Gérard Tichy, Paco Sanz",Angelo Francesco Lavagnino,"A direct sequel to Five Thousand Dollars on One Ace. Gambler Jeff Clayton (Robert Woods) and colorful Mexican bandido Carrancio (Fernando Sancho) escape together from a prison chain gang. The two form an unlikely criminal alliance, getting involved in a town feud that showcases Sancho's charismatic persona."
Man from Oklahoma,1965,Ranch of the Ruthless; Il Ranch degli Spietati,Jaime J. Balcazar / Roberto Montero (as Robert M. White),Rick Horn (Thomas Hunter),"José Calvo, Sabine Bethman, John MacDouglas, Tom Felleghy, Leontine May, Karl Otto Alberty",Francesco De Masi (as Frank Mason),"The newly appointed sheriff of Wagon Wheel (Rick Horn) is determined to dismantle a marauding gang of outlaws. Convinced that an influential local land baron is secretly financing the raids to force settlers off their claims, the sheriff engages in a protracted cat-and-mouse game to prove the tycoon's guilt."
Man of the Cursed Valley,1964,L'Uomo della Valle Maledetta,Primo Zeglio (as Omar Hopkins),Ty Hardin,"Iran Eory, Peter Larry, Joe Kamel, José Nieto, John Bartha, José Marco",Manuel Parada / Francesco De Masi,"A frontier drama following a white woman (Iran Eory) who marries a Native American warrior and is disowned by her family. When she is captured by a hostile rival tribe, a roaming gunslinger (Ty Hardin) steps in to secure her rescue and mediate a reconciliation with her stubborn rancher father."
Man of the East,1973,Eastman; E Poi lo Chiamarono il Magnifico,Enzo Barboni (as E. B. Clucher),Terence Hill,"Gregory Walcott, Yanti Sommer, Dominic Barto, Harry Carey, Jr., Dan Sturkie, Riccardo Pizzuti",Guido and Maurizio De Angelis,"Directed by Trinity creator Enzo Barboni, this comedy stars Terence Hill as Sir Thomas More, an aristocratic English dandy sent west to become a 'real man.' Guided by three aging outlaw friends of his late father, the cultured newcomer bewilders local frontier bullies by overcoming gunfights and brawls with refined British etiquette."
Man Who Cried for Revenge,1969,Il Suo Nome Gridava Vendetta,Mario Caiano (as William Hawkins),Anthony Steffen,"William Berger, Evelyn Stewart (Ida Galli), Raf Baldassare, Eleanora Vargas, Robert Hundar",Robbe Poitevin,"Anthony Steffen plays Drake, a brooding, vengeful gunman returning to his hometown to execute the three men who raped and murdered his wife. Finding the killers entrenched in positions of wealth and power under the protection of a regional boss, Drake methodically eliminates them one by one."
Man Who Killed Billy the Kid,1967,For a Few Bullets More; I'll Kill Him and Return Alone; Hombre Que Mató Billy el Niño,Julio Buchs,Peter Lee Lawrence,"Fausto Tozzi, Dianik Zurakowska, Gloria Milland, Antonio Pica, Luis Prendes, Paco Sanz",Gianni Ferrio,"A Spanish-Italian revisionist take on the Lincoln County War. Peter Lee Lawrence portrays Billy the Kid as a misunderstood youth forced into violence by circumstances and local corruption. Fausto Tozzi co-stars as Sheriff Pat Garrett, who is torn between his personal affection for Billy and his sworn duty to uphold the law."
Man with the Golden Pistol,1966,"A Man Came to Kill; Doc, Hands of Steel; L'Uomo dalla Pistola d'Oro",Alfonso Balcazar,Carl Möhner,"Luis Dávila, Gloria Milland, Fernando Sancho, Umberto Raho, Oscar Pelliceri, Irene Mir",Angelo Francesco Lavagnino,"Finding the corpse of a notorious gunman, an outlaw on the run (Carl Möhner) assumes the dead man's identity and is hired as town sheriff by a regional marshal. Hoping to leave his criminal past behind, the new lawman successfully defends the community from a Mexican gang led by Fernando Sancho."
Manhunt,1984,Mad Dog,Fabrizio De Angelis (as Larry Ludman),John Ethan Wayne,"Henry Silva, Bo Svenson, Ernest Borgnine, Raimund Harmstorf",Francesco De Masi,"A modern-day neo-western produced in Italy. John Ethan Wayne (son of John Wayne) plays an innocent stranger who stops to water his horses on land owned by a corrupt rancher (Ernest Borgnine). After being framed by a crooked sheriff (Bo Svenson) and brutalized by a sadistic prison warden (Henry Silva), he escapes to wage a personal war of retribution."
Massacre at Fort Grant,1963,Renegades of Fort Grant; Doomed Fort; Fuerte Perdido,José M. Elorrieta (as J. Douglas),German Cobos (as Jerry Cobb),"Mariano Vidal Molina, Marta May, Aldo Sambrell, Luis Villar, Cris Huerta, Frank Braña",Fernando Garcia Morcillo,"When their stagecoach is attacked by warring Apaches, newlyweds take refuge inside Fort Grant alongside other desperate survivors. Paranoia breaks out inside the besieged garrison when the officer in charge is falsely accused of being a traitor working with the hostiles."
Massacre at Fort Holman,1972,"Reason to Live, a Reason to Die; Una Ragione per Vivere... una Ragione per Morire",Tonino Valerii,James Coburn,"Telly Savalas, Bud Spencer, José Suarez, Ralph Goodwin, Paco Sanz, Robert Burton",Riz Ortolani,"A Civil War adventure heavily influenced by The Dirty Dozen. Disgraced Union Colonel Pembroke (James Coburn) recruits seven condemned military prisoners, including a brawling looter (Bud Spencer), to mount a near-suicidal raid to recapture a strategic fort held by a fanatical Confederate major (Telly Savalas)."
Massacre at Grand Canyon,1963,Red Pastures; I Pascoli Rossi; Massacro al Grande Canyon,Albert Band / Sergio Corbucci (as Stanley Corbett),James Mitchum,"Jill Powers, George Ardisson, Giacomo Rossi Stuart, Andrea Giordana, Burt Nelson, Nando Poggi",Gianni Ferrio,"An important historical curiosity codirected by Sergio Corbucci and Albert Band a year before Fistful of Dollars. James Mitchum (son of Robert Mitchum) stars as a young man seeking vengeance for his father's murder, finding himself caught in a violent range war over ownership of lush pastureland."
Massacre at Marble City,1964,Conquerors of Arkansas; Alla Conquista dell'Arkansas,Franz J. Gottlieb,Mario Adorf,"Brad Harris, Horst Frank, Dorothee Parker, Ralf Wolter, Thomas Alder, Serge Marquand",Heinz Gietz / Francesco De Masi,"Based on a classic novel by Friedrich Gerstäcker, this German-Italian co-production depicts the lawless chaos that engulfs Marble City following a major gold strike. A courageous rancher (Brad Harris) and a native chief team up to restore order when greedy claim-jumpers disguise themselves as Indians to massacre settlers."
Massacre Time,1966,The Brute and the Beast; Tempo di Massacro,Lucio Fulci,Franco Nero,"George Hilton, John MacDouglas, Nino Castelnuovo, Tom Felleghy, Lynn Shayne",Lallo Gori,"Lucio Fulci's first Eurowestern is a masterpiece of dynamic violence. Gold prospector Tom (Franco Nero) returns to his home valley after receiving an urgent summons, only to find his family estate taken over by a sadistic tyrant named Jason (Nino Castelnuovo). Allied with his alcoholic half-brother (George Hilton), Tom wages an explosive, bullet-riddled assault on the hacienda."
Matalo!,1971,¡Mátalo!,Cesare Canavari,Lou Castel,"Corrado Pani, Antonio Salinas, Luis Dávila, Claudia Gravy, Miguel Del Castillo, Annamaria Noe",Mario Migliardi,"An avant-garde, psychedelic western renowned for its minimal dialogue, distorted angles, and heavy fuzz-guitar soundtrack. A gang of ruthless outlaws takes refuge in a dusty ghost town where an enigmatic wanderer named Ray (Lou Castel), who uses Australian boomerangs alongside six-shooters, eliminates the invaders."
May God Forgive You... But I Won't,1968,Chiedi Perdono a Dio... Non a Me,Vincenzo Musolino (as Glenn Vincent Davis),George Ardisson,"Anthony Ghidra, Peter Martell, Cristina Iosani, Pedro Sanchez, Jean Louis, Lilli Lembo",Felice Di Stefano,"A grim, uncompromising revenge drama starring George Ardisson as Cjamango. Returning home to find his father, brother, and sister ruthlessly murdered by an outlaw syndicate during a land dispute, Cjamango embarks on a merciless, blood-drenched campaign across the territory until every killer is dead."
Mercenary,1968,A Professional Gun; El Mercenario; Revenge of a Gunfighter,Sergio Corbucci,Franco Nero,"Jack Palance, Tony Musante, Giovanna Ralli, Eduardo Fajardo, Julio Peña, Bruno Corazzari",Ennio Morricone,"A classic revolutionary adventure from Sergio Corbucci. Franco Nero plays Sergei Kowalski, a polished European mercenary hired by a charismatic peasant insurgent named Paco (Tony Musante) to lead a rebellion against the corrupt Mexican regime, all while pursued by a curly-haired, sadistic bounty hunter named Ricciolo (Jack Palance)."
Minnesota Clay,1964,Minnesota Clay,Sergio Corbucci,Cameron Mitchell,"Fernando Sancho, Alberto Cevenini, Georges Rivière, Antonio Casas, Joe Kamel, Diana Martin",Piero Piccioni,"Sergio Corbucci's first solo western. Cameron Mitchell stars as Minnesota Clay, an aging gunfighter serving a prison sentence on false charges. Escaping custody, he returns to his hometown to prove his innocence and protect his estranged daughter, battling through shootouts while gradually losing his eyesight."
"Minute to Pray, a Second to Die",1967,"Escondido; Dead or Alive; Minuto per Pregare, un Istante per Morire",Franco Giraldi,Alex Cord,"Robert Ryan, Arthur Kennedy, Mario Brega, Nicoletta Machiavelli, Spean Convery, Renato Romano",Carlo Rustichelli,"Alex Cord plays Clay McCord, a notorious outlaw afflicted with severe paralytic seizures. Seeking an amnesty offered by the territorial governor (Robert Ryan) so he can retire in peace, McCord finds his path blocked by a vindictive sheriff (Arthur Kennedy) obsessed with gunning him down."
Miss Dynamite,1972,Where the Bullets Fly; Tutti Fratelli nel West... per Parte di Padre,Sergio Grieco,Antonio Sabàto,"Fernando Sancho, Lionel Stander, Marisa Mell, Peter Carsten, Franco Pesce",Riz Ortolani,"A lively, comedic frontier caper where Antonio Sabàto and an eccentric group of wandering rogues get caught up in a chaotic scramble to locate a hidden cache of gold coins, constantly staying one step ahead of rival outlaws and an overbearing Mexican bandit chief (Fernando Sancho)."
The Moment to Kill,1968,Il Momento di Uccidere,Giuliano Carmineo (as Anthony Ascott),George Hilton,"Walter Barnes, Horst Frank, Giorgio Sanmartino, Loni von Friedl, Renato Romano, Carlo Alighiero",Francesco De Masi,"Two rival bounty hunters, Lord and Bull (George Hilton and Walter Barnes), arrive in a frontier town searching for half a million dollars in hidden Confederate gold. The key to the treasure rests with a paralyzed young woman, drawing the pair into a violent confrontation with a ruthless town boss (Horst Frank)."
Montana Trap,1976,Potato Fritz,Peter Schamoni,Hardy Kruger,"Stephen Boyd, Anton Diffring, Friedrich Von Ledebur, David Hess, Arthur Brauss, Luis Barboo",Anton Dvorak / Udo Jürgens,"A rare German-produced comedy-western starring Hardy Krüger as Potato Fritz, an eccentric settler determined to cultivate potatoes on the frontier. Taking shelter inside Fort Benton with his companion (Stephen Boyd) during an Indian raid, he butts heads with a rigid Prussian officer (Anton Diffring)."
More Dollars for the MacGregors,1970,Few More Dollars for the MacGregors; Ancora Dollari per i MacGregor,José Luis Merino,Peter Lee Lawrence,"George Forsyte, Stan Cooper, Malisa Longo, José Jaspe, Charles Quiney, Luis Marin",Augusto Martelli,"When an outlaw gang slaughters a bounty hunter's girlfriend, the tracker allies with an enigmatic blond stranger named Blondie (Peter Lee Lawrence) to eliminate the killers. After the climactic gun battle, Blondie reveals that the murdered woman was his sister, leading to a personal confrontation over negligence."
Murieta,1963,Vendetta; Joaquin Murieta,George Sherman,Jeffrey Hunter,"Arthur Kennedy, Diana Lorys, Sara Lezana, Roberto Camardiel, Frank Braña, Pedro Osinaga",Antonio Perez Olea,"Jeffrey Hunter stars as the legendary historical figure Joaquin Murieta, a peaceful Mexican immigrant arriving in California during the 1849 Gold Rush. When his wife is assaulted and murdered by racist miners, Murieta loses his mind to rage, launching a wave of guerrilla raids across the mining camps."
Mutiny at Fort Sharp,1966,Per un Dollaro di Gloria,Fernando Cerchio,Broderick Crawford,"Elisa Montes, Mario Valdemarin, Umberto Ceriani, Hugo Arden, Julio Peña",Carlo Savina,"During the American Civil War, a detachment of French soldiers accidentally enters Confederate territory in Texas and is integrated into Fort Sharp. The soldiers gradually realize that the paranoid fortress commander, Colonel Lennox (Broderick Crawford), is hallucinating an impending native siege."
"My Colt, Not Yours",1972,Four Candles for Garringo; La Mia Colt Ti Cerca... Quattro Ceri Ti Attendono,Ignacio Iquino (as Steve McCohy),Robert Woods,"Olga Omar, Vidal Molina, Cris Huerta, Maria Martin, Antonio Molino Rojo",Enrique Escobar,"Robert Woods delivers a frenetic, eccentric performance as Sheriff Garingo, a borderline-deranged lawman who takes on a corrupt saloon proprietor and town boss (Cris Huerta) running a frontier municipality with syndicate-like extortion tactics."
"My Horse, My Gun, Your Widow",1972,"Domani, Passo a Salutare la Tua Vedova... Parola di Epidemia",Ignacio Iquino (as John Wood),Craig Hill,"Claudie Lange, Chris Huerta, Luis Induñi, Pedro Sanchez, Carlo Gaddi",Bruno Nicolai,"Craig Hill plays Dr. Janos Saxon, who robs a frontier security bank alongside partners only to be betrayed and stripped of the cash by a greedy bandit chief (Cris Huerta). Accompanied by a female companion, Saxon spends the remainder of the narrative pulling off elaborate ruses to reclaim the stolen funds."
My Name Is Nobody,1973,Il Mio Nome È Nessuno,Tonino Valerii,Terence Hill,"Henry Fonda, Leo Gordon, Geoffrey Lewis, R. G. Armstrong, Piero Lulli",Ennio Morricone,"A brilliant, elegiac masterpiece produced and conceived by Sergio Leone. Terence Hill plays Nobody, an agile, easygoing drifter who hero-worships aging legendary gunfighter Jack Beauregard (Henry Fonda). Hoping to give his idol a magnificent, historic sendoff into retirement, Nobody tricks Beauregard into single-handedly facing the 150-strong Wild Bunch."
My Name Is Pecos,1966,Il Mio Nome È Pecos; Due Once di Piombo,Maurizio Lucidi (as Maurice A. Bright),Robert Woods,"Lucia Modugno, Peter Carsten, Christiana Josani, Peter Kapp, Max Dean, Louis Cassel",Lallo Gori,"Robert Woods stars as Pecos Martinez, a Mexican gunfighter who rides into a dusty settlement to settle an old score with Joe Kline (Peter Carsten), the ruthless syndicate boss who murdered his family years earlier. A grim, atmospheric revenge western featuring an uncredited appearance by George Eastman."
Navajo Joe,1966,A Dollar a Head; Un Dollaro a Testa,Sergio Corbucci,Burt Reynolds,"Aldo Sambrell, Nicoletta Machiavelli, Simon Arraga, Fernando Rey, Tanya Lopert, Cris Huerta",Ennio Morricone (as Leo Nichols),"Burt Reynolds stars as Navajo Joe, the sole survivor of a massacre of his tribe by a gang of scalp-hunting bandits led by Marvin Duncan (Aldo Sambrell). Joe tracks the gang to the town of Esperanza, offering to exterminate the outlaws for a bounty of one dollar per head. Features an iconic, operatic vocal score by Ennio Morricone."
Ned Kelly,1970,Ned Kelly: Outlaw,Tony Richardson,Mick Jagger,"Allen Bickford, Geoff Gilmour, Serge Lazareff, Clarissa Kaye",Shel Silverstein / Waylon Jennings,"Rock icon Mick Jagger takes on the role of Australia's most famous bushranger, Ned Kelly, charting his transformation from an impoverished horse thief into a heavily armored folk hero waging an armed rebellion against colonial police oppression across Victoria."
Nephews of Zorro,1969,I Nipoti di Zorro,Marcello Ciorciolini (as Frank Reed),Franco Franchi,"Ciccio Ingrassia, Dean Reed, Agata Flori, Pedro Sanchez, Ivano Staccioli",Piero Umiliani,"Italian comedy team Franco and Ciccio travel to Gold Rush-era California and falsely boast of being the legendary masked vigilante Zorro to impress local women. The ruse backfires when the tyrannical garrison commander sentences them to hang, requiring the genuine Zorro (Dean Reed) to ride to their rescue."
